age,gender,exercise_type,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
42,M,Deadlifts,2,7,96.8,5,113.3,3411,9.3,Intermediate,2.25
41,M,Bench Press,4,6,130.8,3,192.0,2015,6.2,Advanced,1.82
30,F,Squats,4,12,34.7,4,166.8,2680,8.9,Beginner,7.76
24,F,Deadlifts,1,7,35.8,1,149.3,3292,8.0,Intermediate,6.35
53,M,Squats,1,11,50.9,5,157.7,3853,9.9,Intermediate,5.04
37,M,Deadlifts,4,15,113.3,4,83.5,3401,6.9,Beginner,8.08
18,M,Deadlifts,6,5,58.5,5,154.2,3505,8.4,Intermediate,5.64
25,F,Bench Press,5,10,71.0,3,141.1,1894,5.3,Intermediate,3.13
33,M,Squats,3,7,92.1,1,145.5,2597,7.0,Intermediate,3.1
31,M,Bench Press,5,12,166.1,4,123.1,1686,9.8,Intermediate,3.26
29,F,Squats,3,10,22.5,1,89.8,3097,7.7,Intermediate,2.83
40,M,Squats,4,6,136.9,3,103.2,3091,6.4,Intermediate,3.07
32,F,Deadlifts,1,10,140.4,1,194.1,2229,5.6,Intermediate,5.83
45,F,Squats,6,11,163.8,1,129.0,1739,8.5,Beginner,5.82
51,M,Squats,1,9,187.9,2,136.0,1640,8.2,Advanced,1.88
19,F,Deadlifts,5,7,23.6,1,86.3,1638,6.9,Intermediate,3.47
49,M,Squats,1,8,47.7,5,84.5,1569,9.8,Intermediate,2.1
40,F,Squats,4,8,179.5,4,166.1,1884,5.1,Intermediate,2.76
39,M,Deadlifts,6,10,102.5,2,144.6,2129,6.5,Intermediate,3.26
42,F,Squats,5,14,121.6,4,141.0,3745,9.6,Intermediate,5.0
39,M,Deadlifts,6,5,139.3,4,109.2,1704,6.6,Intermediate,3.78
39,F,Deadlifts,3,15,142.2,3,169.4,3249,6.3,Intermediate,6.18
59,F,Deadlifts,1,8,187.7,3,100.2,2067,7.7,Intermediate,2.0
23,M,Bench Press,6,14,199.5,2,102.8,2481,9.1,Intermediate,1.8
32,F,Squats,2,8,149.6,3,135.3,2304,5.5,Beginner,4.45
54,M,Squats,1,14,71.7,3,114.4,3210,9.7,Intermediate,7.22
50,M,Deadlifts,3,5,178.4,3,109.7,2381,9.0,Beginner,4.75
25,M,Deadlifts,6,13,28.9,4,157.4,3535,5.9,Beginner,6.2
22,M,Bench Press,5,8,61.6,2,158.1,2473,8.6,Advanced,4.21
56,M,Squats,3,11,181.5,4,178.9,2139,6.9,Intermediate,2.95
21,F,Squats,2,7,66.1,5,130.1,2954,7.0,Intermediate,1.42
23,M,Squats,6,14,59.7,4,88.8,1824,8.9,Intermediate,2.39
49,F,Deadlifts,4,7,44.9,5,112.8,1941,9.8,Advanced,3.56
47,M,Bench Press,1,12,174.6,1,197.6,2303,5.6,Intermediate,1.66
52,F,Deadlifts,5,12,110.0,1,151.6,3835,7.1,Intermediate,1.1
57,F,Deadlifts,4,15,141.5,5,165.2,1725,7.4,Intermediate,4.46
33,M,Squats,6,5,63.0,5,80.9,2587,6.9,Advanced,1.59
30,F,Bench Press,6,14,156.4,4,142.2,2466,6.8,Advanced,1.53
59,M,Bench Press,3,6,156.8,5,84.5,2059,5.3,Advanced,1.11
47,F,Bench Press,6,12,76.3,2,148.3,2213,8.4,Beginner,5.3
36,M,Deadlifts,5,5,93.9,1,190.5,1997,7.2,Beginner,5.38
34,F,Deadlifts,4,12,57.7,1,196.2,3607,6.0,Beginner,2.33
36,M,Deadlifts,5,12,195.8,5,144.9,1756,9.1,Beginner,7.87
45,M,Squats,2,6,136.2,3,135.0,2076,9.0,Advanced,1.21
43,F,Squats,2,8,188.2,3,193.4,3786,7.4,Beginner,9.61
54,M,Deadlifts,1,10,74.6,5,160.8,1537,6.5,Beginner,4.38
43,M,Squats,1,15,160.7,2,87.8,3572,8.2,Beginner,3.79
40,M,Squats,2,13,157.9,3,135.9,1909,6.4,Beginner,4.5
26,M,Squats,6,12,144.5,5,108.8,1960,6.2,Beginner,5.37
29,M,Bench Press,5,12,193.8,2,136.4,2940,8.7,Intermediate,3.58
18,M,Squats,2,11,90.8,2,134.7,3904,5.2,Intermediate,4.73
18,M,Bench Press,1,13,43.5,4,149.9,1882,5.5,Beginner,2.89
51,M,Deadlifts,2,6,140.9,2,122.8,3332,5.0,Intermediate,1.04
49,F,Squats,6,7,151.3,3,99.7,2068,5.8,Intermediate,1.39
42,M,Squats,2,14,123.5,3,140.4,2571,5.3,Beginner,5.09
57,M,Squats,5,12,57.2,5,179.6,1932,10.0,Intermediate,5.63
18,M,Deadlifts,4,10,110.8,5,159.7,1555,6.4,Intermediate,3.41
33,M,Squats,6,14,76.2,2,120.6,3815,5.7,Intermediate,3.83
56,F,Squats,1,13,96.9,1,192.3,3616,6.2,Intermediate,2.56
22,M,Squats,5,14,136.1,4,189.5,3251,9.7,Beginner,12.96
39,M,Deadlifts,2,8,154.1,1,105.1,3547,7.6,Advanced,2.92
46,F,Bench Press,2,12,61.8,2,84.7,2401,6.8,Advanced,1.0
20,F,Deadlifts,4,14,93.0,2,169.0,3124,9.4,Advanced,2.8
29,M,Deadlifts,1,7,68.4,1,179.3,1756,7.0,Beginner,3.63
43,F,Squats,1,7,55.8,4,196.1,2171,6.7,Advanced,1.26
33,F,Deadlifts,3,12,161.0,1,186.8,1989,6.0,Advanced,2.99
54,M,Squats,1,9,183.7,5,152.1,3596,6.9,Advanced,3.31
39,F,Deadlifts,4,7,86.6,3,143.6,3182,6.6,Beginner,7.87
46,F,Bench Press,3,14,155.2,5,83.3,1815,8.4,Intermediate,2.16
31,M,Deadlifts,3,15,181.5,3,109.6,3960,6.4,Advanced,3.73
45,M,Squats,2,5,172.3,2,135.2,1933,7.9,Intermediate,1.96
22,M,Squats,2,7,52.9,4,155.4,2525,5.3,Intermediate,4.86
47,F,Squats,1,13,192.1,1,146.9,3475,6.0,Advanced,1.55
22,F,Squats,3,9,87.8,4,169.1,3479,7.0,Intermediate,6.1
29,F,Squats,2,14,81.1,1,113.6,2889,9.7,Intermediate,4.88
33,M,Squats,4,6,31.2,5,147.8,1919,6.9,Intermediate,2.2
43,F,Squats,2,11,107.5,5,90.6,3096,8.3,Advanced,3.12
43,M,Bench Press,6,6,39.6,1,129.6,3084,6.3,Beginner,4.3
38,M,Deadlifts,6,8,64.7,4,170.0,2343,5.6,Intermediate,3.64
56,M,Bench Press,2,11,77.0,1,163.2,2967,5.3,Intermediate,3.31
53,F,Squats,3,8,165.6,2,198.9,1933,6.5,Intermediate,1.69
50,M,Bench Press,3,11,177.6,5,113.3,3078,5.8,Intermediate,1.32
47,F,Squats,5,11,74.4,2,139.8,3604,5.9,Advanced,2.87
54,M,Deadlifts,6,5,174.6,5,119.5,2463,8.8,Advanced,1.66
40,M,Squats,4,10,174.3,5,132.9,2476,5.1,Beginner,8.49
27,M,Deadlifts,3,13,157.6,3,182.8,1545,7.8,Intermediate,4.87
22,M,Deadlifts,1,6,46.4,2,162.1,2693,6.9,Beginner,4.12
53,F,Deadlifts,6,7,144.3,2,185.9,1916,7.5,Intermediate,1.0
51,M,Bench Press,4,14,190.1,3,104.4,2347,7.8,Intermediate,4.49
48,F,Deadlifts,4,9,142.9,4,184.8,3686,6.6,Advanced,1.87
27,M,Deadlifts,3,13,79.7,2,87.2,1746,6.5,Advanced,1.2
36,F,Bench Press,4,8,110.1,1,186.6,1729,8.7,Beginner,3.34
49,M,Bench Press,3,5,136.2,3,119.5,2291,9.4,Beginner,6.31
18,F,Bench Press,2,8,111.9,2,117.8,2136,6.0,Intermediate,1.68
22,F,Bench Press,6,10,41.6,4,141.5,3921,5.5,Intermediate,1.25
21,M,Bench Press,5,9,76.2,2,192.9,2237,9.5,Beginner,10.21
33,M,Bench Press,2,5,164.4,5,85.7,2588,6.7,Advanced,2.13
41,F,Squats,6,8,175.1,1,122.3,1587,7.8,Advanced,2.68
33,F,Squats,3,10,44.7,3,182.8,2212,6.8,Intermediate,1.96
19,M,Squats,6,14,191.4,5,127.5,3249,5.6,Advanced,4.55
45,F,Squats,3,14,79.2,4,103.9,2727,7.9,Intermediate,5.43
49,F,Squats,2,8,139.2,5,131.0,3436,7.6,Intermediate,4.42
44,F,Bench Press,1,13,155.3,5,126.3,2905,6.0,Intermediate,2.0
37,F,Squats,1,9,166.2,4,189.8,2100,7.3,Beginner,2.44
41,F,Deadlifts,6,12,190.2,5,171.4,2999,9.0,Advanced,1.59
29,M,Squats,1,13,76.3,3,140.6,1713,8.0,Intermediate,5.61
52,M,Squats,3,14,174.5,2,198.6,3621,5.5,Intermediate,2.83
50,M,Deadlifts,4,9,43.7,5,135.8,3608,7.7,Intermediate,1.54
50,F,Bench Press,3,10,146.9,3,87.0,2197,8.5,Beginner,3.82
54,F,Squats,4,5,153.6,2,111.5,2742,9.0,Beginner,8.95
29,M,Deadlifts,2,15,142.0,2,132.3,3559,8.1,Intermediate,5.81
20,F,Deadlifts,5,11,65.4,5,98.8,3579,5.8,Intermediate,3.38
18,F,Squats,4,8,177.1,3,193.7,2683,8.6,Intermediate,7.5
50,M,Squats,1,15,50.4,5,172.0,2500,8.4,Intermediate,3.39
57,M,Deadlifts,3,6,29.7,4,112.2,1736,5.1,Intermediate,4.63
27,M,Bench Press,2,9,149.1,2,150.9,2704,7.1,Intermediate,1.0
46,M,Bench Press,1,7,105.6,5,166.6,2981,6.7,Intermediate,3.44
30,M,Deadlifts,2,10,172.8,2,193.0,2603,8.3,Advanced,4.8
29,M,Squats,5,12,89.0,3,185.8,2146,6.1,Intermediate,4.49
48,M,Bench Press,3,11,50.3,1,141.8,1972,8.0,Intermediate,1.49
19,M,Squats,6,7,170.6,5,173.0,1611,9.6,Beginner,11.74
52,M,Deadlifts,3,12,118.8,5,147.5,3345,9.0,Intermediate,3.39
40,M,Bench Press,5,6,54.1,2,146.3,3154,9.6,Beginner,2.39
34,F,Bench Press,3,14,149.7,3,93.8,1882,9.9,Intermediate,3.67
43,M,Squats,6,13,112.0,4,95.1,1516,5.1,Beginner,1.77
25,F,Squats,4,8,128.8,3,143.5,1992,8.1,Intermediate,3.66
46,F,Bench Press,2,5,103.0,5,112.3,3396,7.1,Intermediate,4.78
43,M,Deadlifts,6,12,169.2,4,82.5,3009,9.3,Intermediate,3.43
27,M,Bench Press,1,11,169.3,3,166.7,1616,6.3,Beginner,1.42
43,M,Squats,5,15,147.7,1,83.9,3078,9.9,Beginner,8.97
51,M,Deadlifts,4,9,39.0,2,151.4,2379,8.1,Intermediate,3.27
58,F,Squats,1,14,171.0,3,144.7,3662,9.0,Beginner,7.25
24,M,Deadlifts,1,9,140.8,3,196.3,3318,5.4,Intermediate,1.97
21,M,Squats,5,11,145.5,1,138.1,3072,5.9,Intermediate,2.94
28,M,Bench Press,4,9,85.3,5,87.6,3148,8.8,Intermediate,4.45
46,M,Squats,1,12,178.3,2,146.2,2143,5.1,Intermediate,1.61
53,F,Deadlifts,1,15,150.6,3,180.9,2859,9.1,Advanced,2.57
42,M,Bench Press,4,10,40.3,4,199.6,1835,5.1,Beginner,4.62
38,M,Squats,3,9,93.4,3,131.6,1646,8.3,Beginner,7.07
53,M,Squats,1,13,179.5,2,118.4,1621,6.8,Beginner,3.07
27,F,Squats,2,15,28.5,3,188.8,1580,8.1,Beginner,8.33
54,M,Squats,4,6,193.1,1,102.9,3922,8.5,Beginner,4.21
26,M,Deadlifts,1,5,142.2,3,153.9,3610,6.7,Intermediate,5.75
41,F,Bench Press,5,12,133.6,3,128.7,2003,5.5,Intermediate,1.05
52,M,Deadlifts,6,7,68.7,4,84.9,2167,5.3,Intermediate,3.01
52,F,Bench Press,2,15,64.8,1,121.7,3996,7.9,Intermediate,2.29
53,F,Bench Press,6,11,189.6,1,111.8,2944,7.6,Intermediate,2.54
35,F,Squats,6,14,73.7,3,162.3,2845,8.7,Intermediate,1.36
56,F,Squats,1,15,159.6,4,193.9,2689,7.5,Beginner,7.94
49,F,Deadlifts,2,12,90.8,3,112.2,3120,7.1,Intermediate,3.49
41,F,Deadlifts,2,10,45.1,3,177.4,3480,7.0,Beginner,8.8
40,F,Squats,3,14,21.9,2,86.6,3172,5.1,Beginner,4.18
49,F,Squats,6,13,118.0,2,144.6,1958,6.7,Intermediate,2.18
54,M,Bench Press,2,11,195.6,4,88.5,2712,9.9,Advanced,1.67
29,M,Deadlifts,3,14,86.4,5,192.1,1963,9.4,Intermediate,3.57
30,M,Squats,4,9,84.3,2,172.0,2411,6.6,Beginner,4.85
40,M,Bench Press,3,12,81.9,5,159.0,3926,7.9,Advanced,1.0
42,M,Deadlifts,5,6,113.7,1,178.9,2525,9.2,Intermediate,6.93
52,M,Squats,1,11,99.3,2,157.7,3911,7.2,Intermediate,2.29
58,M,Squats,4,8,178.4,2,196.3,1571,5.1,Advanced,1.47
47,F,Bench Press,4,13,111.0,4,165.7,2950,5.4,Intermediate,2.65
34,F,Deadlifts,5,5,111.4,5,191.0,2693,7.6,Beginner,8.81
37,M,Squats,3,11,44.9,2,142.1,3348,9.8,Intermediate,4.11
42,M,Bench Press,1,10,196.9,2,94.0,3884,8.5,Intermediate,2.68
39,F,Bench Press,3,12,65.0,4,143.4,3522,5.4,Intermediate,3.26
30,M,Bench Press,2,9,33.2,4,95.2,3742,5.9,Intermediate,1.91
36,F,Bench Press,3,5,139.4,5,151.1,2511,8.9,Advanced,1.49
53,M,Bench Press,4,5,127.2,1,137.9,2152,9.2,Advanced,2.69
29,M,Bench Press,1,13,94.7,1,154.7,2798,8.1,Advanced,4.52
58,F,Bench Press,3,14,96.0,3,81.2,1506,8.2,Advanced,2.91
36,M,Bench Press,1,10,161.3,2,103.4,2404,5.1,Advanced,2.19
29,F,Bench Press,1,14,55.2,5,139.0,3528,9.1,Beginner,6.02
26,F,Deadlifts,2,9,167.6,2,194.1,2115,8.9,Beginner,5.05
24,M,Squats,2,5,136.8,5,126.0,3373,6.3,Intermediate,2.78
45,F,Deadlifts,4,10,95.4,5,130.9,2269,8.5,Advanced,3.27
31,F,Deadlifts,5,10,102.4,5,165.8,3789,6.1,Intermediate,4.5
48,M,Squats,1,7,66.2,2,152.5,3066,5.2,Intermediate,5.63
36,F,Bench Press,5,12,155.4,4,115.9,2985,6.0,Beginner,3.35
33,M,Bench Press,4,5,112.3,2,129.3,2940,5.9,Beginner,3.15
22,F,Squats,1,5,77.8,5,106.1,2265,6.7,Intermediate,3.53
52,F,Squats,1,10,127.3,3,195.9,1883,7.1,Beginner,5.43
29,M,Squats,6,14,199.2,1,95.7,3938,7.5,Intermediate,3.21
42,F,Squats,5,5,98.3,5,124.6,2187,7.4,Beginner,6.1
38,F,Deadlifts,3,10,185.7,3,83.1,2649,6.4,Intermediate,2.97
53,F,Squats,2,5,82.1,4,106.6,1546,5.1,Intermediate,4.28
40,F,Deadlifts,3,10,29.9,5,173.7,3472,8.0,Intermediate,3.08
33,F,Bench Press,5,7,56.8,3,104.1,1963,7.0,Intermediate,2.39
56,M,Deadlifts,2,12,95.4,5,89.6,3372,6.5,Beginner,7.63
59,F,Bench Press,3,10,59.5,2,136.9,1622,9.3,Advanced,2.04
56,M,Squats,6,15,20.0,3,81.2,3681,8.7,Intermediate,4.19
31,M,Bench Press,2,5,184.7,2,90.2,3142,9.3,Intermediate,4.83
48,F,Squats,1,9,171.9,2,176.9,2340,7.5,Intermediate,1.74
22,M,Bench Press,3,12,153.6,3,172.6,3085,5.7,Beginner,8.12
52,M,Deadlifts,2,7,50.2,1,189.8,3303,8.5,Advanced,4.86
40,M,Squats,6,10,41.7,3,182.5,1522,6.0,Intermediate,5.72
46,M,Squats,2,9,32.2,1,162.0,2065,7.2,Intermediate,5.88
28,F,Deadlifts,2,10,150.3,5,86.3,3409,5.3,Beginner,7.73
35,M,Deadlifts,6,14,187.2,5,173.9,2464,9.1,Advanced,4.73
29,F,Bench Press,3,5,97.5,3,181.5,3782,5.6,Intermediate,1.0
26,M,Squats,4,11,41.4,5,175.9,2495,9.5,Beginner,5.75
27,F,Bench Press,3,13,112.2,4,141.0,2687,9.3,Intermediate,1.1
34,M,Squats,5,6,82.8,2,107.9,3294,7.3,Advanced,1.89
55,M,Deadlifts,6,14,87.5,2,181.4,2325,8.7,Intermediate,7.29
24,F,Deadlifts,3,9,131.8,1,167.3,1715,8.1,Intermediate,3.62
30,F,Deadlifts,2,14,149.4,5,197.7,2156,9.0,Intermediate,2.47
57,M,Deadlifts,6,8,39.9,1,98.7,2613,7.2,Intermediate,4.05
59,M,Squats,1,10,26.4,2,107.1,3487,8.9,Intermediate,6.45
26,M,Deadlifts,3,10,199.0,2,105.4,1810,7.3,Beginner,7.54
44,M,Deadlifts,6,15,61.9,5,175.1,2056,9.7,Intermediate,4.25
19,F,Squats,3,6,29.7,4,102.4,3804,7.4,Advanced,3.3
22,M,Deadlifts,6,6,54.2,4,88.0,3056,7.3,Intermediate,3.48
46,M,Squats,2,8,27.0,5,199.8,1551,8.9,Intermediate,1.62
54,M,Bench Press,1,5,90.5,5,83.0,2861,9.1,Intermediate,2.02
55,M,Deadlifts,1,13,164.4,1,180.2,2694,7.8,Intermediate,2.8
36,M,Bench Press,5,11,81.4,5,123.8,3148,5.9,Advanced,3.73
25,M,Squats,6,11,100.0,4,181.0,3847,7.3,Intermediate,4.15
18,M,Bench Press,3,7,141.6,5,146.6,2171,9.8,Beginner,7.29
39,M,Bench Press,1,15,111.6,1,188.2,2277,8.8,Advanced,2.43
34,F,Deadlifts,1,7,175.1,1,191.1,2331,9.1,Intermediate,4.33
24,M,Bench Press,4,5,175.9,1,81.1,3779,5.2,Advanced,2.68
42,F,Squats,4,7,21.8,1,89.0,3360,7.3,Intermediate,3.0
21,M,Deadlifts,1,7,160.0,3,110.0,3029,8.2,Advanced,3.04
53,F,Bench Press,6,8,102.9,5,160.3,3575,9.2,Beginner,7.22
23,F,Bench Press,5,8,198.0,2,186.6,3472,5.2,Intermediate,6.12
48,F,Bench Press,1,7,107.0,5,135.2,2574,9.3,Advanced,2.71
36,F,Deadlifts,2,14,197.6,3,152.8,3216,7.7,Beginner,4.7
56,M,Bench Press,3,12,155.8,1,102.6,2783,6.0,Beginner,5.64
44,M,Bench Press,5,12,64.7,3,176.6,2090,6.6,Intermediate,3.36
27,M,Squats,2,5,116.9,4,196.1,3486,6.4,Advanced,3.2
43,M,Squats,5,11,198.6,4,112.2,2501,7.7,Beginner,3.26
36,M,Squats,2,15,174.4,5,139.4,3731,5.3,Advanced,2.86
56,M,Squats,3,6,37.5,5,90.3,2546,5.8,Intermediate,4.35
20,F,Bench Press,3,5,147.1,2,147.1,3676,9.1,Intermediate,5.58
30,M,Deadlifts,4,7,82.2,2,140.3,3838,5.7,Advanced,2.29
45,F,Bench Press,6,8,21.3,4,97.3,3355,6.2,Intermediate,2.19
37,F,Deadlifts,2,10,92.6,1,133.0,2000,7.3,Beginner,6.26
45,F,Deadlifts,4,14,62.3,3,120.1,3733,7.6,Beginner,5.32
25,M,Deadlifts,2,9,167.4,2,142.6,1978,8.8,Intermediate,5.54
58,M,Bench Press,4,8,80.7,2,150.3,3094,7.2,Intermediate,2.79
56,M,Bench Press,3,12,169.0,1,81.0,2012,8.9,Advanced,2.19
18,M,Bench Press,5,15,20.1,1,171.3,3832,8.1,Intermediate,3.67
20,F,Squats,4,8,75.4,5,165.6,2100,5.6,Intermediate,6.21
30,M,Squats,2,14,63.4,3,124.0,2940,5.8,Intermediate,1.07
45,F,Deadlifts,2,6,62.0,1,86.4,2623,7.2,Beginner,4.74
42,M,Deadlifts,6,7,32.3,2,170.6,1688,7.0,Beginner,7.72
50,F,Squats,3,10,53.7,2,194.6,2488,8.7,Advanced,4.06
55,F,Bench Press,2,12,120.0,4,108.8,3381,7.9,Beginner,3.59
23,M,Deadlifts,1,12,72.4,1,118.8,1887,6.9,Beginner,4.54
49,M,Squats,5,15,95.1,5,102.1,3788,5.9,Intermediate,5.88
38,M,Squats,4,13,87.8,3,149.2,3305,6.1,Intermediate,2.62
33,M,Deadlifts,6,11,177.7,5,98.6,3533,7.9,Advanced,2.19
38,M,Bench Press,5,6,183.0,2,122.7,3254,7.1,Beginner,4.32
28,M,Squats,3,12,108.7,5,163.6,3964,7.6,Beginner,5.74
54,M,Bench Press,6,11,79.4,2,147.2,3723,5.9,Intermediate,2.81
53,M,Deadlifts,4,12,39.2,2,126.4,1886,8.3,Intermediate,5.13
52,M,Bench Press,4,7,191.6,2,130.4,2994,9.3,Intermediate,4.26
36,F,Squats,1,11,30.8,2,147.5,2352,6.3,Intermediate,5.24
37,M,Squats,3,14,73.6,2,80.7,1951,7.5,Advanced,2.5
35,F,Bench Press,6,13,73.7,4,89.4,3824,9.9,Advanced,2.74
58,M,Bench Press,6,7,77.7,5,185.8,3258,6.7,Beginner,1.96
31,M,Deadlifts,2,14,49.6,4,89.3,1712,8.0,Intermediate,4.55
32,F,Squats,1,10,161.0,4,164.8,1540,5.5,Intermediate,3.65
48,M,Deadlifts,1,6,42.0,1,190.4,2645,8.0,Advanced,1.76
18,M,Squats,6,6,134.3,1,112.5,3841,5.4,Advanced,3.26
20,M,Squats,6,9,42.3,1,124.5,2099,9.8,Beginner,4.48
33,M,Squats,5,9,32.7,3,148.3,3524,8.6,Intermediate,5.45
40,M,Squats,5,11,183.7,1,185.8,3530,8.9,Intermediate,7.44
28,M,Bench Press,5,6,54.2,5,193.0,3282,8.5,Beginner,5.28
29,F,Bench Press,1,15,167.8,4,168.7,3351,7.9,Beginner,3.46
27,M,Squats,2,11,118.0,5,90.4,3998,7.2,Intermediate,3.77
49,M,Bench Press,4,9,34.0,1,160.3,3279,9.3,Intermediate,6.25
33,M,Squats,5,10,192.0,3,129.2,3881,9.8,Beginner,10.96
25,F,Deadlifts,2,12,64.5,3,136.5,3404,7.5,Intermediate,1.67
55,M,Deadlifts,3,14,174.7,4,85.9,3591,9.7,Beginner,5.05
29,M,Squats,5,8,50.4,5,102.9,1643,7.9,Intermediate,4.11
41,M,Bench Press,4,11,173.7,2,174.9,1832,7.7,Intermediate,1.0
45,F,Squats,3,10,22.4,5,134.5,2497,7.3,Beginner,4.62
25,M,Squats,3,14,112.1,1,116.2,2919,6.0,Intermediate,3.86
45,M,Squats,4,6,158.5,2,126.1,1554,5.0,Beginner,1.22
53,M,Deadlifts,5,12,188.3,3,182.5,2830,6.2,Intermediate,3.13
43,F,Bench Press,1,14,183.7,4,169.9,2946,7.5,Beginner,3.98
25,M,Squats,4,13,167.5,4,112.7,2940,6.9,Intermediate,3.29
45,M,Deadlifts,4,9,179.9,3,94.1,3872,7.2,Beginner,3.69
45,F,Bench Press,4,14,55.9,1,110.2,3233,9.9,Intermediate,3.15
54,F,Deadlifts,3,8,71.2,3,190.5,3194,6.8,Intermediate,2.08
58,M,Bench Press,2,10,72.0,1,149.8,1579,7.3,Beginner,4.71
53,F,Bench Press,1,12,87.9,2,144.0,2484,5.7,Intermediate,2.11
44,M,Squats,5,15,90.8,3,151.6,2364,5.2,Beginner,6.69
34,M,Squats,5,7,118.0,1,123.9,3087,8.9,Intermediate,2.98
26,M,Deadlifts,2,14,48.8,2,176.9,1971,7.9,Beginner,8.73
50,F,Squats,4,15,144.4,3,142.8,3621,8.8,Intermediate,1.92
37,M,Deadlifts,1,15,50.2,4,94.0,3076,5.7,Intermediate,4.17
30,M,Bench Press,5,5,75.9,3,95.5,3002,7.9,Advanced,1.75
45,M,Squats,6,8,110.6,5,144.4,2088,6.3,Intermediate,5.24
46,F,Squats,5,8,163.4,3,192.4,2910,6.1,Intermediate,5.03
30,M,Squats,4,5,153.1,5,117.0,3405,5.1,Intermediate,6.12
52,M,Deadlifts,6,13,136.2,2,184.3,2063,5.7,Advanced,1.0
23,M,Bench Press,2,7,48.0,3,171.7,1966,6.5,Intermediate,2.61
35,M,Squats,1,9,118.5,2,109.7,2098,5.6,Beginner,3.89
22,M,Squats,2,10,35.7,2,84.4,3144,9.9,Advanced,2.11
42,F,Squats,2,12,87.9,1,92.2,2491,6.5,Intermediate,4.03
19,M,Bench Press,1,10,94.4,2,167.4,3432,5.7,Advanced,3.91
27,M,Squats,1,7,27.2,2,104.0,3795,6.0,Advanced,4.51
47,F,Deadlifts,5,10,69.3,3,124.6,3104,7.9,Beginner,3.37
22,M,Squats,5,5,192.0,3,140.2,1566,5.3,Intermediate,1.88
50,M,Squats,1,8,191.7,4,167.1,1969,9.3,Beginner,4.49
18,F,Bench Press,6,10,83.4,1,93.6,3224,9.8,Beginner,7.21
35,M,Bench Press,3,11,27.8,2,128.8,3833,6.2,Beginner,6.34
49,M,Deadlifts,5,15,52.2,1,138.2,3131,7.3,Intermediate,6.11
28,M,Bench Press,3,15,90.6,5,144.9,3859,5.1,Beginner,1.62
38,M,Squats,6,14,190.6,2,178.2,3856,8.2,Beginner,12.71
43,M,Bench Press,1,7,45.4,1,100.6,2274,7.1,Intermediate,2.87
42,M,Squats,6,13,157.4,4,176.9,2636,6.4,Beginner,5.76
39,M,Squats,5,11,39.6,4,163.1,3511,6.0,Beginner,5.4
44,M,Deadlifts,2,5,196.6,2,146.7,2986,8.3,Beginner,2.41
30,F,Deadlifts,1,6,88.7,5,163.9,1631,7.1,Intermediate,1.0
50,F,Deadlifts,4,5,159.5,4,129.4,2429,5.9,Intermediate,3.52
51,M,Bench Press,3,15,81.7,4,96.6,2428,8.4,Beginner,2.32
58,M,Bench Press,6,13,133.0,5,159.9,3668,7.8,Advanced,2.34
52,F,Squats,1,13,54.6,1,143.0,2720,9.3,Intermediate,1.63
18,M,Squats,6,11,46.3,4,156.7,3005,5.6,Intermediate,2.11
38,M,Deadlifts,1,14,188.9,3,120.6,2133,8.9,Intermediate,4.6
23,F,Squats,5,7,185.2,4,188.8,2562,8.4,Intermediate,7.62
45,M,Deadlifts,5,9,179.7,1,150.5,2684,5.6,Intermediate,4.11
34,F,Deadlifts,5,8,132.6,1,90.2,1788,8.5,Beginner,4.56
22,F,Squats,6,11,165.5,2,134.0,3747,7.2,Beginner,10.85
48,M,Bench Press,4,13,32.4,3,170.8,3311,9.7,Advanced,2.33
22,M,Bench Press,5,6,80.3,1,175.3,2027,5.7,Beginner,2.09
55,M,Squats,1,12,76.5,5,139.4,2416,8.2,Intermediate,3.72
20,F,Deadlifts,5,13,134.4,3,187.4,3208,6.9,Advanced,1.41
40,F,Bench Press,2,14,84.1,3,112.1,2906,9.8,Intermediate,5.06
54,F,Squats,5,14,46.7,5,129.3,2741,6.6,Intermediate,3.88
54,M,Bench Press,6,13,127.4,4,187.8,2610,9.8,Intermediate,2.33
27,F,Deadlifts,4,14,166.6,5,187.6,2298,9.5,Beginner,3.65
27,F,Squats,2,11,88.8,5,162.3,3023,6.4,Intermediate,3.71
36,F,Deadlifts,6,13,43.8,4,183.1,1511,9.0,Intermediate,2.48
34,F,Squats,6,13,55.4,4,90.7,2332,10.0,Advanced,1.95
38,F,Deadlifts,6,7,62.7,4,183.8,2741,6.3,Advanced,4.07
31,F,Deadlifts,1,8,74.0,4,118.5,3172,7.2,Advanced,2.31
26,M,Squats,6,6,135.7,4,101.4,3653,7.6,Advanced,1.23
18,M,Squats,1,14,128.2,5,108.7,2190,6.5,Intermediate,5.02
30,M,Deadlifts,6,7,145.3,2,130.2,2027,5.1,Intermediate,1.98
21,F,Bench Press,3,15,85.3,2,110.1,2995,6.1,Intermediate,4.48
18,M,Deadlifts,2,15,168.3,1,118.5,2392,6.4,Intermediate,3.35
57,F,Squats,3,9,56.7,2,96.2,1886,7.2,Advanced,1.61
49,F,Deadlifts,6,9,104.4,2,115.5,2749,5.9,Beginner,5.8
51,F,Deadlifts,2,10,164.2,5,148.7,3277,9.4,Advanced,2.18
45,M,Deadlifts,2,11,52.4,4,133.0,1907,8.5,Advanced,3.77
