exercise_name,target_muscle_group,type,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2,genetic_advantage
Reverse Flyes,Back,Isolation,30,M,5,10,17,4,150,2800,7.9,Intermediate,1.7,4
Reverse Flyes,Back,Isolation,39,F,4,8,12,2,130,2600,7,Beginner,1.35,2
Hyperextensions,Back,Isolation,34,M,3,12,20,2,140,2750,7.6,Intermediate,1.5,3
Hyperextensions,Back,Isolation,29,F,4,15,15,2,125,2550,6.9,Beginner,1.3,2
Hyperextensions,Back,Isolation,40,M,5,10,25,3,150,2800,7.8,Advanced,1.8,4
Hyperextensions,Back,Isolation,26,F,3,12,18,2,130,2600,7.2,Intermediate,1.45,3
Hyperextensions,Back,Isolation,37,M,4,10,22,3,145,2750,7.6,Intermediate,1.7,4
Hyperextensions,Back,Isolation,33,F,5,8,16,2,120,2500,6.7,Beginner,1.35,2
Hyperextensions,Back,Isolation,45,M,3,12,24,4,160,2900,8,Advanced,2,5
Hyperextensions,Back,Isolation,28,F,4,10,17,3,135,2700,7.5,Intermediate,1.55,3
Hyperextensions,Back,Isolation,31,M,5,15,20,2,150,2800,7.9,Intermediate,1.9,4
Hyperextensions,Back,Isolation,39,F,3,8,15,2,130,2600,7,Beginner,1.4,2
Good Mornings,Back,Compound,35,M,4,10,60,3,150,2800,7.6,Intermediate,2.1,3
Good Mornings,Back,Compound,30,F,3,12,40,2,125,2550,6.9,Beginner,1.5,2
Good Mornings,Back,Compound,41,M,5,8,70,4,165,3050,8,Advanced,2.6,4
Good Mornings,Back,Compound,27,F,4,10,45,3,130,2600,7.2,Intermediate,1.7,3
Good Mornings,Back,Compound,38,M,3,12,65,2,145,2750,7.8,Intermediate,2.2,4
Good Mornings,Back,Compound,32,F,5,8,42,2,120,2500,6.7,Beginner,1.45,2
Good Mornings,Back,Compound,46,M,4,10,68,3,160,2900,8.1,Advanced,2.8,5
Good Mornings,Back,Compound,29,F,3,12,48,3,135,2700,7.5,Intermediate,1.65,3
Good Mornings,Back,Compound,33,M,5,10,62,4,155,2850,7.9,Intermediate,2.4,4
Good Mornings,Back,Compound,40,F,4,8,45,2,130,2600,7,Beginner,1.6,2
Shrugs,Traps,Isolation,36,M,4,12,40,3,145,2750,7.6,Intermediate,1.7,3
Shrugs,Traps,Isolation,31,F,3,15,25,2,125,2550,6.9,Beginner,1.3,2
Shrugs,Traps,Isolation,42,M,5,10,50,4,160,2900,8,Advanced,2,4
Shrugs,Traps,Isolation,28,F,4,12,30,3,130,2600,7.2,Intermediate,1.5,3
Shrugs,Traps,Isolation,37,M,3,12,45,2,150,2800,7.8,Intermediate,1.8,4
Shrugs,Traps,Isolation,33,F,5,8,28,2,120,2500,6.7,Beginner,1.35,2
Shrugs,Traps,Isolation,45,M,4,10,48,3,165,3050,8.1,Advanced,2.2,5
Shrugs,Traps,Isolation,26,F,3,12,32,3,135,2700,7.5,Intermediate,1.55,3
Shrugs,Traps,Isolation,30,M,5,10,42,4,155,2850,7.9,Intermediate,1.9,4
Shrugs,Traps,Isolation,39,F,4,8,26,2,130,2600,7,Beginner,1.4,2
Upright Rows,Traps,Compound,34,M,4,10,40,3,140,2750,7.6,Intermediate,1.8,3
Upright Rows,Traps,Compound,29,F,3,12,25,2,125,2550,6.9,Beginner,1.4,2
Upright Rows,Traps,Compound,40,M,5,8,50,4,155,2850,8,Advanced,2.1,4
Upright Rows,Traps,Compound,26,F,4,10,30,3,130,2600,7.2,Intermediate,1.65,3
Upright Rows,Traps,Compound,37,M,3,12,45,2,145,2750,7.8,Intermediate,1.9,4
Upright Rows,Traps,Compound,33,F,5,8,28,2,120,2500,6.7,Beginner,1.45,2
Upright Rows,Traps,Compound,46,M,4,10,48,3,160,2900,8.1,Advanced,2.3,5
Upright Rows,Traps,Compound,28,F,3,12,32,3,135,2700,7.5,Intermediate,1.7,3
Upright Rows,Traps,Compound,31,M,5,10,42,4,150,2800,7.9,Intermediate,2,4
Upright Rows,Traps,Compound,39,F,4,8,26,2,130,2600,7,Beginner,1.5,2
Barbell Curls,Biceps,Isolation,35,M,4,12,30,3,140,2750,7.6,Intermediate,1.7,3
Barbell Curls,Biceps,Isolation,30,F,3,15,20,2,125,2550,6.9,Beginner,1.3,2
Barbell Curls,Biceps,Isolation,41,M,5,10,35,4,155,2850,8,Advanced,2,4
Barbell Curls,Biceps,Isolation,27,F,4,12,22,3,130,2600,7.2,Intermediate,1.5,3
Barbell Curls,Biceps,Isolation,38,M,3,12,32,2,145,2750,7.8,Intermediate,1.8,4
Barbell Curls,Biceps,Isolation,32,F,5,8,21,2,120,2500,6.7,Beginner,1.35,2
Barbell Curls,Biceps,Isolation,46,M,4,10,34,3,160,2900,8.1,Advanced,2.2,5
Barbell Curls,Biceps,Isolation,29,F,3,12,23,3,135,2700,7.5,Intermediate,1.55,3
Barbell Curls,Biceps,Isolation,33,M,5,10,30,4,150,2800,7.9,Intermediate,1.9,4
Barbell Curls,Biceps,Isolation,40,F,4,8,20,2,130,2600,7,Beginner,1.4,2
Dumbbell Curls,Biceps,Isolation,36,M,4,12,20,3,140,2750,7.6,Intermediate,1.6,3
Dumbbell Curls,Biceps,Isolation,31,F,3,15,15,2,125,2550,6.9,Beginner,1.25,2
Dumbbell Curls,Biceps,Isolation,42,M,5,10,25,4,155,2850,8,Advanced,1.9,4
Dumbbell Curls,Biceps,Isolation,28,F,4,12,18,3,130,2600,7.2,Intermediate,1.45,3
Dumbbell Curls,Biceps,Isolation,37,M,3,12,22,2,145,2750,7.8,Intermediate,1.7,4
Dumbbell Curls,Biceps,Isolation,33,F,5,8,16,2,120,2500,6.7,Beginner,1.3,2
Dumbbell Curls,Biceps,Isolation,45,M,4,10,24,3,160,2900,8.1,Advanced,2,5
Dumbbell Curls,Biceps,Isolation,26,F,3,12,17,3,135,2700,7.5,Intermediate,1.5,3
Dumbbell Curls,Biceps,Isolation,30,M,5,10,21,4,150,2800,7.9,Intermediate,1.8,4
Dumbbell Curls,Biceps,Isolation,39,F,4,8,15,2,130,2600,7,Beginner,1.35,2
Hammer Curls,Biceps,Isolation,34,M,4,12,22,3,140,2750,7.6,Intermediate,1.65,3
Hammer Curls,Biceps,Isolation,29,F,3,15,15,2,125,2550,6.9,Beginner,1.3,2
Hammer Curls,Biceps,Isolation,40,M,5,10,25,4,155,2850,8,Advanced,1.95,4
Hammer Curls,Biceps,Isolation,26,F,4,12,18,3,130,2600,7.2,Intermediate,1.5,3
Hammer Curls,Biceps,Isolation,37,M,3,12,23,2,145,2750,7.8,Intermediate,1.7,4
Hammer Curls,Biceps,Isolation,33,F,5,8,16,2,120,2500,6.7,Beginner,1.35,2
Hammer Curls,Biceps,Isolation,45,M,4,10,26,3,160,2900,8.1,Advanced,2,5
Hammer Curls,Biceps,Isolation,28,F,3,12,17,3,135,2700,7.5,Intermediate,1.55,3
Hammer Curls,Biceps,Isolation,31,M,5,10,20,4,150,2800,7.9,Intermediate,1.8,4
Hammer Curls,Biceps,Isolation,39,F,4,8,15,2,130,2600,7,Beginner,1.4,2
Preacher Curls,Biceps,Isolation,35,M,4,12,25,3,140,2750,7.6,Intermediate,1.7,3
Preacher Curls,Biceps,Isolation,30,F,3,15,15,2,125,2550,6.9,Beginner,1.3,2
Preacher Curls,Biceps,Isolation,41,M,5,10,30,4,155,2850,8,Advanced,2,4
Preacher Curls,Biceps,Isolation,27,F,4,12,18,3,130,2600,7.2,Intermediate,1.5,3
Preacher Curls,Biceps,Isolation,38,M,3,12,28,2,145,2750,7.8,Intermediate,1.8,4
Preacher Curls,Biceps,Isolation,32,F,5,8,16,2,120,2500,6.7,Beginner,1.35,2
Preacher Curls,Biceps,Isolation,46,M,4,10,32,3,160,2900,8.1,Advanced,2.2,5
Preacher Curls,Biceps,Isolation,29,F,3,12,17,3,135,2700,7.5,Intermediate,1.55,3
Preacher Curls,Biceps,Isolation,33,M,5,10,25,4,150,2800,7.9,Intermediate,1.9,4
Preacher Curls,Biceps,Isolation,40,F,4,8,15,2,130,2600,7,Beginner,1.4,2
Cable Curls,Biceps,Isolation,36,M,4,12,20,3,140,2750,7.6,Intermediate,1.6,3
Cable Curls,Biceps,Isolation,31,F,3,15,15,2,125,2550,6.9,Beginner,1.25,2
Cable Curls,Biceps,Isolation,42,M,5,10,25,4,155,2850,8,Advanced,1.9,4
Cable Curls,Biceps,Isolation,28,F,4,12,18,3,130,2600,7.2,Intermediate,1.45,3
Cable Curls,Biceps,Isolation,37,M,3,12,22,2,145,2750,7.8,Intermediate,1.7,4
Cable Curls,Biceps,Isolation,33,F,5,8,16,2,120,2500,6.7,Beginner,1.3,2
Cable Curls,Biceps,Isolation,45,M,4,10,24,3,160,2900,8.1,Advanced,2,5
Cable Curls,Biceps,Isolation,26,F,3,12,17,3,135,2700,7.5,Intermediate,1.5,3
Cable Curls,Biceps,Isolation,30,M,5,10,21,4,150,2800,7.9,Intermediate,1.8,4
Cable Curls,Biceps,Isolation,39,F,4,8,15,2,130,2600,7,Beginner,1.35,2
Concentration Curls,Biceps,Isolation,34,M,4,12,15,3,140,2750,7.6,Intermediate,1.5,3
Concentration Curls,Biceps,Isolation,29,F,3,15,10,2,125,2550,6.9,Beginner,1.2,2
Concentration Curls,Biceps,Isolation,40,M,5,10,20,4,155,2850,8,Advanced,1.7,4
Concentration Curls,Biceps,Isolation,26,F,4,12,12,3,130,2600,7.2,Intermediate,1.45,3
Concentration Curls,Biceps,Isolation,37,M,3,12,18,2,145,2750,7.8,Intermediate,1.6,4
Concentration Curls,Biceps,Isolation,33,F,5,8,11,2,120,2500,6.7,Beginner,1.3,2
Concentration Curls,Biceps,Isolation,45,M,4,10,19,3,160,2900,8.1,Advanced,1.85,5
Concentration Curls,Biceps,Isolation,28,F,3,12,13,3,135,2700,7.5,Intermediate,1.5,3
Concentration Curls,Biceps,Isolation,31,M,5,10,17,4,150,2800,7.9,Intermediate,1.7,4
Concentration Curls,Biceps,Isolation,39,F,4,8,12,2,130,2600,7,Beginner,1.35,2
21s,Biceps,Isolation,35,M,4,12,20,3,140,2750,7.6,Intermediate,1.6,3
21s,Biceps,Isolation,30,F,3,15,15,2,125,2550,6.9,Beginner,1.25,2
21s,Biceps,Isolation,41,M,5,10,25,4,155,2850,8,Advanced,1.9,4
21s,Biceps,Isolation,27,F,4,12,18,3,130,2600,7.2,Intermediate,1.45,3
21s,Biceps,Isolation,38,M,3,12,22,2,145,2750,7.8,Intermediate,1.7,4
21s,Biceps,Isolation,32,F,5,8,16,2,120,2500,6.7,Beginner,1.3,2
21s,Biceps,Isolation,46,M,4,10,24,3,160,2900,8.1,Advanced,2,5
21s,Biceps,Isolation,29,F,3,12,17,3,135,2700,7.5,Intermediate,1.5,3
21s,Biceps,Isolation,33,M,5,10,21,4,150,2800,7.9,Intermediate,1.8,4
