exercise_name,target_muscle_group,type,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2,genetic_advantage,actual_fat_loss,daily_deficit,current_weight,height,muscle_size_increase_in_cm2_6months,muscle_size_increase_in_cm2_12months
Pull-ups,Back,Compound,35,M,4,10,0,3,150,2800,7.6,Intermediate,2.3,3,12.5,350,82,178,1.28,4.4
Pull-ups,Back,Compound,30,F,3,12,0,2,125,2550,6.9,Beginner,1.55,2,7.2,220,63,164,0.81,3.0
Pull-ups,Back,Compound,41,M,5,8,0,4,165,3050,8,Advanced,2.7,4,16.2,440,86,180,1.62,5.24
Pull-ups,Back,Compound,27,F,4,10,0,3,130,2600,7.2,Intermediate,1.7,3,8.9,270,64,161,0.9,3.52
Pull-ups,Back,Compound,38,M,3,12,0,2,145,2750,7.8,Intermediate,2.2,4,11.5,300,83,177,1.15,4.55
Pull-ups,Back,Compound,32,F,5,8,0,2,120,2500,6.7,Beginner,1.5,2,6.8,200,66,166,0.79,2.95
Pull-ups,Back,Compound,46,M,4,10,0,3,160,2900,8.1,Advanced,2.9,5,15.8,420,89,183,1.54,5.42
Pull-ups,Back,Compound,29,F,3,12,0,3,135,2700,7.5,Intermediate,1.65,3,8.2,250,62,159,1.0,3.23
Pull-ups,Back,Compound,33,M,5,10,0,4,150,2800,7.9,Intermediate,2.4,4,13.2,370,80,176,1.46,4.88
Pull-ups,Back,Compound,40,F,4,8,0,2,130,2600,7,Beginner,1.6,2,6.1,180,68,165,0.84,3.04
Chin-ups,Back,Compound,36,M,4,10,0,3,145,2750,7.6,Intermediate,2.2,3,12.1,340,81,178,1.35,4.1
Chin-ups,Back,Compound,31,F,3,12,0,2,125,2550,6.9,Beginner,1.5,2,6.9,200,64,164,0.78,2.81
Chin-ups,Back,Compound,42,M,5,8,0,4,160,2900,8,Advanced,2.7,4,15.5,410,85,180,1.6,5.05
Chin-ups,Back,Compound,28,F,4,10,0,3,130,2600,7.2,Intermediate,1.65,3,8.5,260,63,161,0.98,3.14
Chin-ups,Back,Compound,37,M,3,12,0,2,150,2800,7.8,Intermediate,2.1,4,11.2,290,82,177,1.2,4.04
Chin-ups,Back,Compound,33,F,5,8,0,2,120,2500,6.7,Beginner,1.45,2,6.5,190,67,166,0.77,2.91
Chin-ups,Back,Compound,45,M,4,10,0,3,165,3050,8.1,Advanced,2.8,5,15.2,400,88,182,1.58,5.85
Chin-ups,Back,Compound,26,F,3,12,0,3,135,2700,7.5,Intermediate,1.7,3,7.8,240,61,159,0.93,3.45
Chin-ups,Back,Compound,30,M,5,10,0,4,155,2850,7.9,Intermediate,2.4,4,12.8,360,78,176,1.36,4.5
Chin-ups,Back,Compound,39,F,4,8,0,2,130,2600,7,Beginner,1.6,2,5.9,170,68,165,0.95,3.32
Deadlifts,Back,Compound,34,M,4,10,120,3,170,3100,7.6,Intermediate,2.9,3,18.5,500,85,180,1.76,5.65
Deadlifts,Back,Compound,29,F,3,12,70,2,130,2600,6.9,Beginner,1.7,2,10.2,300,67,165,0.91,3.26
Deadlifts,Back,Compound,40,M,5,8,130,4,180,3200,8,Advanced,3.2,4,22.8,600,92,182,1.83,6.45
Deadlifts,Back,Compound,26,F,4,10,75,3,135,2700,7.2,Intermediate,1.85,3,12.5,380,69,162,1.03,3.73
Deadlifts,Back,Compound,37,M,3,12,125,2,160,2900,7.8,Intermediate,2.5,4,16.8,450,87,178,1.34,5.13
Deadlifts,Back,Compound,33,F,5,8,72,2,125,2550,6.7,Beginner,1.6,2,9.5,280,71,167,0.85,3.29
Deadlifts,Back,Compound,45,M,4,10,135,3,175,3150,8.1,Advanced,3,5,21.2,580,94,184,1.84,5.92
Deadlifts,Back,Compound,28,F,3,12,80,3,140,2750,7.5,Intermediate,1.75,3,11.8,350,68,160,1.02,3.46
Deadlifts,Back,Compound,31,M,5,10,128,4,165,3050,7.9,Intermediate,2.7,4,19.2,520,88,179,1.53,5.3
Deadlifts,Back,Compound,39,F,4,8,70,2,130,2600,7,Beginner,1.65,2,8.9,260,70,166,0.86,3.1
Romanian Deadlifts,Back,Compound,35,M,4,10,90,3,150,2800,7.6,Intermediate,2.2,3,13.8,380,82,178,1.22,4.19
Romanian Deadlifts,Back,Compound,30,F,3,12,50,2,125,2550,6.9,Beginner,1.5,2,7.8,230,64,164,0.92,2.92
Romanian Deadlifts,Back,Compound,41,M,5,8,100,4,165,3050,8,Advanced,2.7,4,17.2,460,86,180,1.58,5.11
Romanian Deadlifts,Back,Compound,27,F,4,10,55,3,130,2600,7.2,Intermediate,1.65,3,9.5,290,65,161,0.93,3.23
Romanian Deadlifts,Back,Compound,38,M,3,12,95,2,145,2750,7.8,Intermediate,2.1,4,12.8,340,83,177,1.12,4.38
Romanian Deadlifts,Back,Compound,32,F,5,8,52,2,120,2500,6.7,Beginner,1.45,2,7.2,210,66,166,0.84,2.91
Romanian Deadlifts,Back,Compound,46,M,4,10,98,3,160,2900,8.1,Advanced,2.8,5,16.5,440,89,183,1.57,5.21
Romanian Deadlifts,Back,Compound,29,F,3,12,60,3,135,2700,7.5,Intermediate,1.7,3,8.8,270,62,159,1.02,3.34
Romanian Deadlifts,Back,Compound,33,M,5,10,92,4,155,2850,7.9,Intermediate,2.4,4,14.5,400,80,176,1.4,4.61
Romanian Deadlifts,Back,Compound,40,F,4,8,55,2,130,2600,7,Beginner,1.6,2,6.9,200,68,165,0.91,3.32
Sumo Deadlifts,Back,Compound,36,M,4,10,110,3,170,3100,7.6,Intermediate,2.8,3,17.2,470,84,179,1.54,5.43
Sumo Deadlifts,Back,Compound,31,F,3,12,65,2,130,2600,6.9,Beginner,1.65,2,9.8,290,66,164,0.99,3.29
Sumo Deadlifts,Back,Compound,42,M,5,8,120,4,180,3200,8,Advanced,3.1,4,21.5,570,90,181,1.88,6.26
Sumo Deadlifts,Back,Compound,28,F,4,10,70,3,135,2700,7.2,Intermediate,1.8,3,11.8,360,67,161,1.06,3.52
Sumo Deadlifts,Back,Compound,37,M,3,12,115,2,150,2800,7.8,Intermediate,2.5,4,15.8,430,85,177,1.42,5.07
Sumo Deadlifts,Back,Compound,33,F,5,8,68,2,125,2550,6.7,Beginner,1.55,2,9.2,270,69,166,0.84,2.93
Sumo Deadlifts,Back,Compound,45,M,4,10,118,3,165,3050,8.1,Advanced,2.9,5,20.2,550,92,182,1.62,5.8
Sumo Deadlifts,Back,Compound,26,F,3,12,72,3,140,2750,7.5,Intermediate,1.7,3,10.8,330,64,159,1.04,3.4
Sumo Deadlifts,Back,Compound,30,M,5,10,112,4,160,2900,7.9,Intermediate,2.6,4,17.8,480,82,176,1.39,5.07
Sumo Deadlifts,Back,Compound,39,F,4,8,65,2,130,2600,7,Beginner,1.65,2,8.5,250,68,165,1.02,3.24
Rack Pulls,Back,Compound,34,M,4,10,140,3,175,3150,7.6,Intermediate,2.9,3,19.2,520,86,180,1.66,5.7
Rack Pulls,Back,Compound,29,F,3,12,80,2,130,2600,6.9,Beginner,1.7,2,10.8,320,68,165,0.96,3.31
Rack Pulls,Back,Compound,40,M,5,8,150,4,185,3250,8,Advanced,3.2,4,23.5,630,94,182,1.73,6.64
Rack Pulls,Back,Compound,26,F,4,10,85,3,135,2700,7.2,Intermediate,1.85,3,13.2,400,70,162,1.05,3.73
Rack Pulls,Back,Compound,37,M,3,12,145,2,160,2900,7.8,Intermediate,2.5,4,17.5,470,88,178,1.55,5.01
Rack Pulls,Back,Compound,33,F,5,8,82,2,125,2550,6.7,Beginner,1.6,2,10.2,300,72,167,0.96,3.05
Rack Pulls,Back,Compound,45,M,4,10,148,3,170,3100,8.1,Advanced,3,5,22.1,590,95,184,1.77,5.78
Rack Pulls,Back,Compound,28,F,3,12,90,3,140,2750,7.5,Intermediate,1.75,3,12.5,380,69,160,1.04,3.66
Rack Pulls,Back,Compound,31,M,5,10,142,4,165,3050,7.9,Intermediate,2.7,4,20.2,550,89,179,1.59,5.28
Rack Pulls,Back,Compound,39,F,4,8,85,2,130,2600,7,Beginner,1.65,2,9.5,280,71,166,0.87,3.13
Face Pulls,Back,Isolation,35,M,3,12,20,2,140,2750,7.6,Intermediate,1.5,3,7.2,220,81,178,0.82,2.88
Face Pulls,Back,Isolation,30,F,4,15,15,2,125,2550,6.9,Beginner,1.3,2,5.1,160,63,164,0.78,2.66
Face Pulls,Back,Isolation,41,M,5,10,25,3,150,2800,7.8,Advanced,1.8,4,9.8,280,84,179,1.1,3.62
Face Pulls,Back,Isolation,27,F,3,12,18,2,130,2600,7.2,Intermediate,1.45,3,6.2,190,64,161,0.77,2.8
Face Pulls,Back,Isolation,38,M,4,10,22,3,145,2750,7.6,Intermediate,1.7,4,8.1,240,82,177,1.05,3.45
Face Pulls,Back,Isolation,32,F,5,8,16,2,120,2500,6.7,Beginner,1.35,2,4.8,150,66,166,0.8,2.72
Face Pulls,Back,Isolation,46,M,3,12,24,4,160,2900,8,Advanced,2,5,10.5,320,89,183,1.24,4.14
Face Pulls,Back,Isolation,29,F,4,10,17,3,135,2700,7.5,Intermediate,1.55,3,6.8,210,62,159,0.9,2.94
Face Pulls,Back,Isolation,33,M,5,15,20,2,150,2800,7.9,Intermediate,1.9,4,8.9,260,80,176,1.05,3.97
Face Pulls,Back,Isolation,40,F,3,8,15,2,130,2600,7,Beginner,1.4,2,4.5,140,68,165,0.84,2.87
Reverse Flyes,Back,Isolation,36,M,4,12,15,3,140,2750,7.6,Intermediate,1.4,3,6.8,210,81,178,0.82,2.6
Reverse Flyes,Back,Isolation,31,F,3,15,10,2,125,2550,6.9,Beginner,1.2,2,4.8,150,64,164,0.74,2.31
Reverse Flyes,Back,Isolation,42,M,5,10,20,4,155,2850,8,Advanced,1.7,4,9.2,270,85,180,0.98,3.37
Reverse Flyes,Back,Isolation,28,F,4,12,12,3,130,2600,7.2,Intermediate,1.45,3,5.9,180,63,161,0.83,3.04
Reverse Flyes,Back,Isolation,37,M,3,12,18,2,145,2750,7.8,Intermediate,1.6,4,7.5,230,82,177,0.93,3.15
Reverse Flyes,Back,Isolation,33,F,5,8,11,2,120,2500,6.7,Beginner,1.3,2,4.5,140,67,166,0.75,2.53
Reverse Flyes,Back,Isolation,45,M,4,10,19,3,160,2900,8.1,Advanced,1.85,5,9.8,290,88,182,1.1,3.55
Reverse Flyes,Back,Isolation,26,F,3,12,13,3,135,2700,7.5,Intermediate,1.5,3,6.2,190,61,159,0.81,2.86
Reverse Flyes,Back,Isolation,30,M,5,10,17,4,150,2800,7.9,Intermediate,1.7,4,8.2,250,78,176,0.91,3.32
Reverse Flyes,Back,Isolation,39,F,4,8,12,2,130,2600,7,Beginner,1.35,2,4.2,130,68,165,0.83,2.69
Hyperextensions,Back,Isolation,34,M,3,12,20,2,140,2750,7.6,Intermediate,1.5,3,7.5,230,80,178,0.79,3.08
Hyperextensions,Back,Isolation,29,F,4,15,15,2,125,2550,6.9,Beginner,1.3,2,5.2,160,63,164,0.77,2.5
Hyperextensions,Back,Isolation,40,M,5,10,25,3,150,2800,7.8,Advanced,1.8,4,10.1,300,84,179,1.11,3.48
Hyperextensions,Back,Isolation,26,F,3,12,18,2,130,2600,7.2,Intermediate,1.45,3,6.5,200,65,161,0.87,2.84
Hyperextensions,Back,Isolation,37,M,4,10,22,3,145,2750,7.6,Intermediate,1.7,4,8.8,260,82,177,0.93,3.35
Hyperextensions,Back,Isolation,33,F,5,8,16,2,120,2500,6.7,Beginner,1.35,2,4.9,150,67,166,0.83,2.62
Hyperextensions,Back,Isolation,45,M,3,12,24,4,160,2900,8,Advanced,2,5,11.2,340,89,183,1.22,3.78
Hyperextensions,Back,Isolation,28,F,4,10,17,3,135,2700,7.5,Intermediate,1.55,3,7.1,220,62,159,0.91,3.17
Hyperextensions,Back,Isolation,31,M,5,15,20,2,150,2800,7.9,Intermediate,1.9,4,9.5,280,80,176,1.12,3.83
Hyperextensions,Back,Isolation,39,F,3,8,15,2,130,2600,7,Beginner,1.4,2,4.6,140,68,165,0.8,2.89
Good Mornings,Back,Compound,35,M,4,10,60,3,150,2800,7.6,Intermediate,2.1,3,11.8,340,82,178,1.19,4.18
Good Mornings,Back,Compound,30,F,3,12,40,2,125,2550,6.9,Beginner,1.5,2,6.9,210,63,164,0.82,3.11
Good Mornings,Back,Compound,41,M,5,8,70,4,165,3050,8,Advanced,2.6,4,14.8,410,86,180,1.6,5.15
Good Mornings,Back,Compound,27,F,4,10,45,3,130,2600,7.2,Intermediate,1.7,3,8.5,260,64,161,0.9,3.54
Good Mornings,Back,Compound,38,M,3,12,65,2,145,2750,7.8,Intermediate,2.2,4,10.5,300,83,177,1.27,4.49
Good Mornings,Back,Compound,32,F,5,8,42,2,120,2500,6.7,Beginner,1.45,2,6.2,190,66,166,0.9,2.87
Good Mornings,Back,Compound,46,M,4,10,68,3,160,2900,8.1,Advanced,2.8,5,14.2,390,89,183,1.72,5.36
Good Mornings,Back,Compound,29,F,3,12,48,3,135,2700,7.5,Intermediate,1.65,3,7.8,240,62,159,0.95,3.18
Good Mornings,Back,Compound,33,M,5,10,62,4,155,2850,7.9,Intermediate,2.4,4,12.5,360,80,176,1.26,4.73
Good Mornings,Back,Compound,40,F,4,8,45,2,130,2600,7,Beginner,1.6,2,5.9,180,68,165,0.9,3.01
Shrugs,Traps,Isolation,36,M,4,12,40,3,145,2750,7.6,Intermediate,1.7,3,8.2,250,81,178,0.99,3.5
Shrugs,Traps,Isolation,31,F,3,15,25,2,125,2550,6.9,Beginner,1.3,2,5.5,170,64,164,0.74,2.45
Shrugs,Traps,Isolation,42,M,5,10,50,4,160,2900,8,Advanced,2,4,10.8,320,85,180,1.17,4.05
Shrugs,Traps,Isolation,28,F,4,12,30,3,130,2600,7.2,Intermediate,1.5,3,6.8,210,63,161,0.92,2.87
Shrugs,Traps,Isolation,37,M,3,12,45,2,150,2800,7.8,Intermediate,1.8,4,9.2,270,82,177,1.02,3.56
Shrugs,Traps,Isolation,33,F,5,8,28,2,120,2500,6.7,Beginner,1.35,2,5.1,160,67,166,0.79,2.75
Shrugs,Traps,Isolation,45,M,4,10,48,3,165,3050,8.1,Advanced,2.2,5,11.5,350,88,182,1.3,4.42
Shrugs,Traps,Isolation,26,F,3,12,32,3,135,2700,7.5,Intermediate,1.55,3,6.5,200,61,159,0.93,3.04
Shrugs,Traps,Isolation,30,M,5,10,42,4,155,2850,7.9,Intermediate,1.9,4,9.8,290,78,176,1.1,3.81
Shrugs,Traps,Isolation,39,F,4,8,26,2,130,2600,7,Beginner,1.4,2,4.8,150,68,165,0.77,2.63
Upright Rows,Traps,Compound,34,M,4,10,40,3,140,2750,7.6,Intermediate,1.8,3,9.5,280,80,178,1.09,3.64
Upright Rows,Traps,Compound,29,F,3,12,25,2,125,2550,6.9,Beginner,1.4,2,6.2,190,63,164,0.74,2.73
Upright Rows,Traps,Compound,40,M,5,8,50,4,155,2850,8,Advanced,2.1,4,12.2,350,84,179,1.3,3.98
Upright Rows,Traps,Compound,26,F,4,10,30,3,130,2600,7.2,Intermediate,1.65,3,7.8,240,65,161,0.91,3.06
Upright Rows,Traps,Compound,37,M,3,12,45,2,145,2750,7.8,Intermediate,1.9,4,10.1,290,82,177,1.13,3.8
Upright Rows,Traps,Compound,33,F,5,8,28,2,120,2500,6.7,Beginner,1.45,2,5.9,180,67,166,0.83,2.82
Upright Rows,Traps,Compound,46,M,4,10,48,3,160,2900,8.1,Advanced,2.3,5,12.8,370,89,183,1.29,4.65
Upright Rows,Traps,Compound,28,F,3,12,32,3,135,2700,7.5,Intermediate,1.7,3,7.2,220,62,159,0.96,3.16
Upright Rows,Traps,Compound,31,M,5,10,42,4,150,2800,7.9,Intermediate,2,4,10.8,320,80,176,1.08,3.78
Upright Rows,Traps,Compound,39,F,4,8,26,2,130,2600,7,Beginner,1.5,2,5.2,160,68,165,0.81,3.07
Barbell Curls,Biceps,Isolation,35,M,4,12,30,3,140,2750,7.6,Intermediate,1.7,3,6.8,210,81,178,1.03,3.28
Barbell Curls,Biceps,Isolation,30,F,3,15,20,2,125,2550,6.9,Beginner,1.3,2,4.8,150,63,164,0.76,2.6
Barbell Curls,Biceps,Isolation,41,M,5,10,35,4,155,2850,8,Advanced,2,4,9.2,270,85,180,1.11,4.14
Barbell Curls,Biceps,Isolation,27,F,4,12,22,3,130,2600,7.2,Intermediate,1.5,3,5.9,180,64,161,0.83,3.1
Barbell Curls,Biceps,Isolation,38,M,3,12,32,2,145,2750,7.8,Intermediate,1.8,4,7.5,230,82,177,1.11,3.76
Barbell Curls,Biceps,Isolation,32,F,5,8,21,2,120,2500,6.7,Beginner,1.35,2,4.5,140,66,166,0.72,2.81
Barbell Curls,Biceps,Isolation,46,M,4,10,34,3,160,2900,8.1,Advanced,2.2,5,9.8,290,89,183,1.22,4.53
Barbell Curls,Biceps,Isolation,29,F,3,12,23,3,135,2700,7.5,Intermediate,1.55,3,6.2,190,62,159,0.85,3.0
Barbell Curls,Biceps,Isolation,33,M,5,10,30,4,150,2800,7.9,Intermediate,1.9,4,8.2,250,80,176,1.09,3.64
Barbell Curls,Biceps,Isolation,40,F,4,8,20,2,130,2600,7,Beginner,1.4,2,4.2,130,68,165,0.85,2.73
Dumbbell Curls,Biceps,Isolation,36,M,4,12,20,3,140,2750,7.6,Intermediate,1.6,3,6.5,200,81,178,0.84,3.25
Dumbbell Curls,Biceps,Isolation,31,F,3,15,15,2,125,2550,6.9,Beginner,1.25,2,4.5,140,64,164,0.67,2.5
Dumbbell Curls,Biceps,Isolation,42,M,5,10,25,4,155,2850,8,Advanced,1.9,4,8.8,260,85,180,1.08,3.79
Dumbbell Curls,Biceps,Isolation,28,F,4,12,18,3,130,2600,7.2,Intermediate,1.45,3,5.6,170,63,161,0.83,2.93
Dumbbell Curls,Biceps,Isolation,37,M,3,12,22,2,145,2750,7.8,Intermediate,1.7,4,7.2,220,82,177,1.0,3.49
Dumbbell Curls,Biceps,Isolation,33,F,5,8,16,2,120,2500,6.7,Beginner,1.3,2,4.2,130,67,166,0.68,2.7
Dumbbell Curls,Biceps,Isolation,45,M,4,10,24,3,160,2900,8.1,Advanced,2,5,9.5,280,88,182,1.19,4.15
Dumbbell Curls,Biceps,Isolation,26,F,3,12,17,3,135,2700,7.5,Intermediate,1.5,3,5.9,180,61,159,0.85,2.82
Dumbbell Curls,Biceps,Isolation,30,M,5,10,21,4,150,2800,7.9,Intermediate,1.8,4,7.8,240,78,176,1.07,3.61
Dumbbell Curls,Biceps,Isolation,39,F,4,8,15,2,130,2600,7,Beginner,1.35,2,3.9,120,68,165,0.75,2.65
Hammer Curls,Biceps,Isolation,34,M,4,12,22,3,140,2750,7.6,Intermediate,1.65,3,6.2,190,80,178,0.98,3.41
Hammer Curls,Biceps,Isolation,29,F,3,15,15,2,125,2550,6.9,Beginner,1.3,2,4.2,130,63,164,0.73,2.72
Hammer Curls,Biceps,Isolation,40,M,5,10,25,4,155,2850,8,Advanced,1.95,4,8.5,250,84,179,1.19,4.02
Hammer Curls,Biceps,Isolation,26,F,4,12,18,3,130,2600,7.2,Intermediate,1.5,3,5.3,160,65,161,0.84,3.07
Hammer Curls,Biceps,Isolation,37,M,3,12,23,2,145,2750,7.8,Intermediate,1.7,4,6.9,210,82,177,0.99,3.37
Hammer Curls,Biceps,Isolation,33,F,5,8,16,2,120,2500,6.7,Beginner,1.35,2,3.9,120,67,166,0.76,2.6
Hammer Curls,Biceps,Isolation,45,M,4,10,26,3,160,2900,8.1,Advanced,2,5,9.2,270,89,183,1.1,3.77
Hammer Curls,Biceps,Isolation,28,F,3,12,17,3,135,2700,7.5,Intermediate,1.55,3,5.6,170,62,159,0.9,2.91
Hammer Curls,Biceps,Isolation,31,M,5,10,20,4,150,2800,7.9,Intermediate,1.8,4,7.5,230,80,176,1.02,3.34
Hammer Curls,Biceps,Isolation,39,F,4,8,15,2,130,2600,7,Beginner,1.4,2,3.6,110,68,165,0.75,2.86
Preacher Curls,Biceps,Isolation,35,M,4,12,25,3,140,2750,7.6,Intermediate,1.7,3,6.5,200,81,178,1.0,3.5
Preacher Curls,Biceps,Isolation,30,F,3,15,15,2,125,2550,6.9,Beginner,1.3,2,4.5,140,63,164,0.73,2.41
Preacher Curls,Biceps,Isolation,41,M,5,10,30,4,155,2850,8,Advanced,2,4,8.8,260,85,180,1.13,4.01
Preacher Curls,Biceps,Isolation,27,F,4,12,18,3,130,2600,7.2,Intermediate,1.5,3,5.6,170,64,161,0.85,2.78
Preacher Curls,Biceps,Isolation,38,M,3,12,28,2,145,2750,7.8,Intermediate,1.8,4,7.2,220,82,177,1.07,3.54
Preacher Curls,Biceps,Isolation,32,F,5,8,16,2,120,2500,6.7,Beginner,1.35,2,4.2,130,66,166,0.71,2.82
Preacher Curls,Biceps,Isolation,46,M,4,10,32,3,160,2900,8.1,Advanced,2.2,5,9.5,280,89,183,1.25,4.19
Preacher Curls,Biceps,Isolation,29,F,3,12,17,3,135,2700,7.5,Intermediate,1.55,3,5.9,180,62,159,0.83,3.13
Preacher Curls,Biceps,Isolation,33,M,5,10,25,4,150,2800,7.9,Intermediate,1.9,4,7.8,240,80,176,0.99,3.56
Preacher Curls,Biceps,Isolation,40,F,4,8,15,2,130,2600,7,Beginner,1.4,2,3.9,120,68,165,0.82,2.93
Cable Curls,Biceps,Isolation,36,M,4,12,20,3,140,2750,7.6,Intermediate,1.6,3,6.2,190,81,178,0.9,2.99
Cable Curls,Biceps,Isolation,31,F,3,15,15,2,125,2550,6.9,Beginner,1.25,2,4.2,130,64,164,0.77,2.37
Cable Curls,Biceps,Isolation,42,M,5,10,25,4,155,2850,8,Advanced,1.9,4,8.5,250,85,180,1.01,3.59
Cable Curls,Biceps,Isolation,28,F,4,12,18,3,130,2600,7.2,Intermediate,1.45,3,5.3,160,63,161,0.89,2.71
Cable Curls,Biceps,Isolation,37,M,3,12,22,2,145,2750,7.8,Intermediate,1.7,4,6.9,210,82,177,0.94,3.47
Cable Curls,Biceps,Isolation,33,F,5,8,16,2,120,2500,6.7,Beginner,1.3,2,3.9,120,67,166,0.78,2.59
Cable Curls,Biceps,Isolation,45,M,4,10,24,3,160,2900,8.1,Advanced,2,5,9.2,270,88,182,1.22,3.81
Cable Curls,Biceps,Isolation,26,F,3,12,17,3,135,2700,7.5,Intermediate,1.5,3,5.6,170,61,159,0.9,3.06
Cable Curls,Biceps,Isolation,30,M,5,10,21,4,150,2800,7.9,Intermediate,1.8,4,7.5,230,78,176,1.01,3.35
Cable Curls,Biceps,Isolation,39,F,4,8,15,2,130,2600,7,Beginner,1.35,2,3.6,110,68,165,0.78,2.55
Concentration Curls,Biceps,Isolation,34,M,4,12,15,3,140,2750,7.6,Intermediate,1.5,3,5.8,180,80,178,0.92,3.03
Concentration Curls,Biceps,Isolation,29,F,3,15,10,2,125,2550,6.9,Beginner,1.2,2,3.9,120,63,164,0.65,2.23
Concentration Curls,Biceps,Isolation,40,M,5,10,20,4,155,2850,8,Advanced,1.7,4,7.8,240,84,179,0.93,3.22
Concentration Curls,Biceps,Isolation,26,F,4,12,12,3,130,2600,7.2,Intermediate,1.45,3,4.9,150,65,161,0.8,2.9
Concentration Curls,Biceps,Isolation,37,M,3,12,18,2,145,2750,7.8,Intermediate,1.6,4,6.2,190,82,177,0.98,3.26
Concentration Curls,Biceps,Isolation,33,F,5,8,11,2,120,2500,6.7,Beginner,1.3,2,3.6,110,67,166,0.7,2.7
Concentration Curls,Biceps,Isolation,45,M,4,10,19,3,160,2900,8.1,Advanced,1.85,5,8.5,250,89,183,1.03,3.7
Concentration Curls,Biceps,Isolation,28,F,3,12,13,3,135,2700,7.5,Intermediate,1.5,3,5.2,160,62,159,0.88,3.12
Concentration Curls,Biceps,Isolation,31,M,5,10,17,4,150,2800,7.9,Intermediate,1.7,4,6.9,210,80,176,1.0,3.34
Concentration Curls,Biceps,Isolation,39,F,4,8,12,2,130,2600,7,Beginner,1.35,2,3.3,100,68,165,0.7,2.52
21s,Biceps,Isolation,35,M,4,12,20,3,140,2750,7.6,Intermediate,1.6,3,6.2,190,81,178,0.87,3.3
21s,Biceps,Isolation,30,F,3,15,15,2,125,2550,6.9,Beginner,1.25,2,4.2,130,63,164,0.73,2.62
21s,Biceps,Isolation,41,M,5,10,25,4,155,2850,8,Advanced,1.9,4,8.5,250,85,180,1.16,3.61
21s,Biceps,Isolation,27,F,4,12,18,3,130,2600,7.2,Intermediate,1.45,3,5.3,160,64,161,0.78,3.01
21s,Biceps,Isolation,38,M,3,12,22,2,145,2750,7.8,Intermediate,1.7,4,6.9,210,82,177,0.99,3.48
21s,Biceps,Isolation,32,F,5,8,16,2,120,2500,6.7,Beginner,1.3,2,3.9,120,66,166,0.68,2.41
21s,Biceps,Isolation,46,M,4,10,24,3,160,2900,8.1,Advanced,2,5,9.2,270,89,183,1.23,3.71
21s,Biceps,Isolation,29,F,3,12,17,3,135,2700,7.5,Intermediate,1.5,3,5.6,170,62,159,0.92,2.82
21s,Biceps,Isolation,33,M,5,10,21,4,150,2800,7.9,Intermediate,1.8,4,7.5,230,80,176,1.08,3.58
